title,duration_mins,original_language,size_mb
The Great Escape,113,Korean,876
The Third Man,129,French,1857
Cinema Paradiso,102,Russian,676
Scarface,112,Japanese,1236
Vertigo,146,Italian,649
Life Is Beautiful,50,Hakka,1305
A Wednesday,56,Russian,685
WALL·E,51,French,1761
Before Sunrise,118,German,1782
The Deer Hunter,125,Marathi,1023
The Apartment,115,Arabic,864
Dog Day Afternoon,98,Tagalog,1814
Dead Poets Society,129,Romanian,1988
Sunrise: A Song of Two Humans,125,Telugu,1096
Star Wars: Episode VI - Return of the Jedi,123,Zulu,1895
The Silence of the Lambs,132,Japanese,587
Saving Private Ryan,137,Italian,645
The Wolf of Wall Street,130,Javanese,1383
Donnie Darko,110,Korean,580
12 Angry Men,50,Romanian,2270
Rush,62,Russian,1298
Platoon,141,Italian,1873
The Godfather: Part II,158,English,1003
Alien,87,Thai,1263
Toy Story,98,Marathi,1634
Into the Wild,139,Japanese,1839
The Dark Knight,138,Marathi,1705
The Best Years of Our Lives,112,English,701
Back to the Future,52,Japanese,2187
Star Wars: Episode VII - The Force Awakens,63,Thai,2380
The Departed,67,Russian,627
Star Wars: Episode VIII – The Last Jedi,61,Javanese,768
The General,107,Hakka,507
Double Indemnity,125,Russian,1615
The Gold Rush,131,Russian,1771
The Dark Knight Rises,49,Kazakh,1940
The Prestige,71,Hindi,2324
Toy Story 3,154,Dutch,2222
The Help,158,Zulu,1106
Terminator 2: Judgment Day,113,Italian,1952
Jaws,133,English,1117
3 Idiots,93,Dutch,1357
Mary and Max,113,Hakka,1086
Paths of Glory,47,Arabic,1634
Cidade de Deus,47,Dutch,2060
Pulp Fiction,115,Thai,820
No Country for Old Men,65,Hakka,642
Metropolis,49,Italian,1801
The Green Mile,55,Kazakh,1421
The Bridge on the River Kwai,128,Romanian,1283
Catch Me If You Can,139,Romanian,1060
The Elephant Man,125,Hakka,1836
Princess Mononoke,67,French,1852
"The Good, the Bad and the Ugly",81,Javanese,1277
Star Wars: Episode III – Revenge of the Sith,93,Thai,1082
Snatch,111,Tagalog,2270
The Sixth Sense,64,Japanese,2309
The Grand Budapest Hotel,132,English,2243
All About Eve,143,Zulu,2034
Beauty and the Beast,131,Zulu,1757
North by Northwest,93,Thai,2009
Star Wars: Episode V - The Empire Strikes Back,51,Hakka,1761
12 Years a Slave,89,Swedish,864
2001: A Space Odyssey,54,Marathi,834
It Happened One Night,148,Tagalog,1040
Star Wars,94,Hindi,2085
Paper Moon,88,Portuguese,655
The Pianist,59,Zulu,821
Cool Hand Luke,50,German,851
Hotel Rwanda,139,Thai,643
Judgment at Nuremberg,120,Hakka,774
Star Wars: Episode II – Attack of the Clones,149,Romanian,2121
Room,148,German,2331
The Intouchables,120,Russian,637
Chinatown,80,Italian,564
The Treasure of the Sierra Madre,71,English,1968
Unforgiven,138,Tagalog,834
How to Train Your Dragon,150,Swedish,821
Jurassic Park,148,Nepali,1125
Amadeus,145,German,1373
The Matrix,52,Tagalog,1778
American Beauty,136,Portuguese,1088
Full Metal Jacket,113,Zulu,1082
The Lord of the Rings: The Two Towers,91,German,2381
Sunset Blvd.,71,Thai,1349
Some Like It Hot,57,Thai,1815
In the Name of the Father,77,German,2364
Stand by Me,57,Marathi,1434
Interstellar,116,Zulu,2029
Stalker,128,Kazakh,938
Lawrence of Arabia,65,Javanese,1452
